model,bug,condition,compiles,valid,detected,ran,line_cov,branch_cov,parsed,smells
llama,Chart-10,C1,True,False,False,True,100.0,0.0,True,8
llama,Chart-10,C2,True,False,False,True,100.0,0.0,True,0
llama,Chart-11,C1,False,False,False,False,0.0,0.0,True,18
llama,Chart-11,C2,False,False,False,False,0.0,0.0,True,0
llama,Chart-15,C1,True,True,True,True,10.1,3.5,True,27
llama,Chart-15,C2,True,True,True,True,10.1,3.5,True,0
llama,Chart-17,C1,False,False,False,False,0.0,0.0,True,33
llama,Chart-17,C2,False,False,False,False,0.0,0.0,True,0
llama,Chart-19,C1,True,True,True,True,11.9,5.5,True,20
llama,Chart-19,C2,True,True,True,True,11.9,5.5,True,0
llama,Chart-1,C1,False,False,False,False,0.0,0.0,True,17
llama,Chart-1,C2,False,False,False,False,0.0,0.0,True,15
llama,Chart-21,C1,False,False,False,False,0.0,0.0,True,26
llama,Chart-21,C2,False,False,False,False,0.0,0.0,True,0
llama,Chart-22,C1,True,False,False,True,20.0,9.5,True,15
llama,Chart-22,C2,True,False,False,True,19.3,8.1,True,0
llama,Chart-23,C1,True,True,True,True,32.8,27.1,True,17
llama,Chart-23,C2,True,True,True,True,32.8,27.1,True,0
llama,Chart-24,C1,True,False,False,True,36.0,10.0,True,12
llama,Chart-24,C2,True,False,False,True,36.0,10.0,True,0
llama,Lang-10,C1,False,False,False,False,0.0,0.0,False,0
llama,Lang-10,C2,False,False,False,False,0.0,0.0,False,0
llama,Lang-19,C1,True,False,False,True,83.3,81.6,True,40
llama,Lang-19,C2,True,False,False,True,83.3,81.6,True,0
llama,Lang-22,C1,False,False,False,False,0.0,0.0,True,20
llama,Lang-22,C2,False,False,False,False,0.0,0.0,True,0
llama,Lang-26,C1,False,False,False,False,0.0,0.0,True,9
llama,Lang-26,C2,False,False,False,False,0.0,0.0,True,0
llama,Lang-30,C1,True,True,False,True,1.5,1.7,True,20
llama,Lang-30,C2,False,False,False,False,0.0,0.0,True,0
llama,Lang-41,C1,False,False,False,False,0.0,0.0,True,14
llama,Lang-41,C2,False,False,False,False,0.0,0.0,True,0
llama,Lang-42,C1,True,False,False,True,38.0,26.3,True,28
llama,Lang-42,C2,True,False,False,True,38.0,26.3,True,0
llama,Lang-57,C1,True,False,False,True,9.2,0.0,True,6
llama,Lang-57,C2,True,False,False,True,9.2,0.0,True,0
llama,Lang-60,C1,True,False,False,True,1.8,1.1,True,0
llama,Lang-60,C2,True,True,True,True,1.8,1.1,True,0
llama,Lang-8,C1,False,False,False,False,0.0,0.0,True,15
llama,Lang-8,C2,False,False,False,False,0.0,0.0,True,0
llama,Math-27,C1,True,True,True,True,16.0,5.3,True,8
llama,Math-27,C2,True,True,True,True,16.0,5.3,True,0
llama,Math-2,C1,True,False,False,True,27.3,19.2,True,0
llama,Math-2,C2,True,False,False,True,27.3,19.2,True,0
llama,Math-53,C1,False,False,False,False,0.0,0.0,True,0
llama,Math-53,C2,False,False,False,False,0.0,0.0,True,0
llama,Math-55,C1,True,True,False,True,32.1,24.0,True,16
llama,Math-55,C2,True,True,False,True,33.6,24.0,True,0
llama,Math-59,C1,True,True,True,True,18.5,8.6,True,29
llama,Math-59,C2,True,True,True,True,18.5,8.6,True,0
llama,Math-63,C1,True,False,False,True,1.9,1.8,True,17
llama,Math-63,C2,True,False,False,True,2.3,2.3,True,0
llama,Math-70,C1,False,False,False,False,0.0,0.0,True,13
llama,Math-70,C2,False,False,False,False,0.0,0.0,True,0
llama,Math-75,C1,True,False,False,True,20.2,16.7,True,8
llama,Math-75,C2,True,False,False,True,23.3,16.7,True,0
llama,Math-79,C1,True,False,False,True,1.5,0.6,True,16
