model,bug,condition,compiles,error_category,detail,file_shape
llama,Chart-10,C1,True,,,full_class
llama,Chart-10,C2,True,,,full_class
llama,Chart-11,C1,False,ambiguous_method_overload,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-11_C1/org/jfree/util/ShapeUtilitiesTest.java:76: error: reference to equal is ambiguous,full_class
llama,Chart-11,C2,False,ambiguous_method_overload,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-11_C2/org/jfree/util/ShapeUtilitiesTest.java:76: error: reference to equal is ambiguous,full_class
llama,Chart-15,C1,True,,,full_class
llama,Chart-15,C2,True,,,full_class
llama,Chart-17,C1,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-17_C1/org/jfree/data/time/TimeSeriesTest.java:91: error: cannot find symbol,full_class
llama,Chart-17,C2,False,abstract_instantiation,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-17_C2/org/jfree/data/time/TimeSeriesTest.java:76: error: RegularTimePeriod is abstract; cannot be instantiated,full_class
llama,Chart-19,C1,True,,,full_class
llama,Chart-19,C2,True,,,full_class
llama,Chart-1,C1,False,cannot_find_symbol,"/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-1_C1/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java:86: error: <anonymous org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest$1> is not abstract and does not override abstract method drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,boolean,int) in CategoryItemRenderer",full_class
llama,Chart-1,C2,False,other_compile_error,"/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-1_C2/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java:85: error: <anonymous org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest$1> is not abstract and does not override abstract method drawItem(Graphics2D,CategoryItemRendererState,Rectangle2D,CategoryPlot,CategoryAxis,ValueAxis,CategoryDataset,int,int,boolean,int) in CategoryItemRenderer",full_class
llama,Chart-21,C1,False,no_suitable_constructor,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-21_C1/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java:77: error: cannot find symbol,full_class
llama,Chart-21,C2,False,ambiguous_method_overload,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Chart-21_C2/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java:76: error: cannot find symbol,full_class
llama,Chart-22,C1,True,,,full_class
llama,Chart-22,C2,True,,,full_class
llama,Chart-23,C1,True,,,full_class
llama,Chart-23,C2,True,,,full_class
llama,Chart-24,C1,True,,,full_class
llama,Chart-24,C2,True,,,full_class
llama,Lang-10,C1,False,illegal_escape_character,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Lang-10_C1/org/apache/commons/lang3/time/FastDateParserTest.java:46: error: illegal escape character,full_class
llama,Lang-10,C2,False,illegal_escape_character,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Lang-10_C2/org/apache/commons/lang3/time/FastDateParserTest.java:31: error: illegal escape character,full_class
llama,Lang-19,C1,True,,,full_class
llama,Lang-19,C2,True,,,full_class
llama,Lang-22,C1,False,private_method_access,"/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/llama/Lang-22_C1/org/apache/commons/lang3/math/FractionTest.java:23: error: greatestCommonDivisor(int,int) has private access in Fraction",full_class
