model,bug,condition,parsed,num_methods,total_smells,distinct_smells,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
llama,Chart-10,C1,True,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
llama,Chart-10,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
llama,Chart-11,C1,True,7,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,7,0
llama,Chart-11,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
llama,Chart-15,C1,True,6,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,6,0
llama,Chart-15,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
llama,Chart-17,C1,True,3,33,6,3,1,0,0,0,3,0,0,0,0,0,0,0,3,20,0,0,0,0,3,0
llama,Chart-17,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
llama,Chart-19,C1,True,5,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,5,0
llama,Chart-19,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Chart-1,C1,True,5,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0
llama,Chart-1,C2,True,5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0
llama,Chart-21,C1,True,5,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,0,0,0,5,0
llama,Chart-21,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama,Chart-22,C1,True,4,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,4,0
