model,bug,condition,file_shape,compiles,ran,focal_class,line_missed,line_covered,line_pct,branch_missed,branch_covered,branch_pct,note
llama,Chart-1,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-1,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-1,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-1,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-1,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-1,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-1,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-1,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-10,C1,full_class,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
llama,Chart-10,C2,full_class,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
gemini,Chart-10,C1,fragment,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
gemini,Chart-10,C2,fragment,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
deepseek,Chart-10,C1,fragment,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
deepseek,Chart-10,C2,fragment,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
gpt-5.5-instant,Chart-10,C1,fragment,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
gpt-5.5-instant,Chart-10,C2,fragment,True,True,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0,3,100.0,0,0,0.0,
llama,Chart-11,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-11,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-11,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Chart-11,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-11,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-11,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-11,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gpt-5.5-instant,Chart-11,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
llama,Chart-15,C1,full_class,True,True,org/jfree/chart/plot/PiePlot,721,81,10.1,305,11,3.5,
llama,Chart-15,C2,full_class,True,True,org/jfree/chart/plot/PiePlot,721,81,10.1,305,11,3.5,
gemini,Chart-15,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-15,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-15,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
deepseek,Chart-15,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-15,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
