App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
llama__Chart-10__C1,StandardToolTipTagFragmentGeneratorTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-10_C1/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_10f/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
llama__Chart-10__C2,StandardToolTipTagFragmentGeneratorTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-10_C2/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_10f/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
llama__Chart-11__C1,ShapeUtilitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-11_C1/org/jfree/util/ShapeUtilitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_11f/source/org/jfree/chart/util/ShapeUtilities.java,,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,7,0
llama__Chart-11__C2,ShapeUtilitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-11_C2/org/jfree/util/ShapeUtilitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_11f/source/org/jfree/chart/util/ShapeUtilities.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
llama__Chart-15__C1,PiePlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-15_C1/org/jfree/chart/plot/PiePlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_15f/source/org/jfree/chart/plot/PiePlot.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,6,0
llama__Chart-15__C2,PiePlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-15_C2/org/jfree/chart/plot/PiePlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_15f/source/org/jfree/chart/plot/PiePlot.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
llama__Chart-17__C1,TimeSeriesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-17_C1/org/jfree/data/time/TimeSeriesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_17f/source/org/jfree/data/time/TimeSeries.java,,,3,3,1,0,0,0,3,0,0,0,0,0,0,0,3,20,0,0,0,0,3,0
llama__Chart-17__C2,TimeSeriesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-17_C2/org/jfree/data/time/TimeSeriesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_17f/source/org/jfree/data/time/TimeSeries.java,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
llama__Chart-19__C1,CategoryPlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-19_C1/org/jfree/chart/plot/CategoryPlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_19f/source/org/jfree/chart/plot/CategoryPlot.java,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,5,0
llama__Chart-19__C2,CategoryPlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-19_C2/org/jfree/chart/plot/CategoryPlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_19f/source/org/jfree/chart/plot/CategoryPlot.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
