model,bug,condition,file_shape,compiles_f,pass_f,found_f,failed_f,compiles_b,pass_b,found_b,failed_b,bug_detected,note
llama,Chart-1,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-1,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-1,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-1,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-1,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-1,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-1,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-1,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-10,C1,full_class,True,False,4,1,True,False,4,2,False,
llama,Chart-10,C2,full_class,True,False,2,1,True,False,2,2,False,
gemini,Chart-10,C1,fragment,True,True,3,0,True,False,3,1,True,
gemini,Chart-10,C2,fragment,True,True,1,0,True,False,1,1,True,
deepseek,Chart-10,C1,fragment,True,False,4,4,True,False,4,4,False,
deepseek,Chart-10,C2,fragment,True,False,6,6,True,False,6,6,False,
gpt-5.5-instant,Chart-10,C1,fragment,True,False,4,1,True,False,4,2,False,
gpt-5.5-instant,Chart-10,C2,fragment,True,True,3,0,True,False,3,1,True,
llama,Chart-11,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-11,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-11,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Chart-11,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-11,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-11,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-11,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gpt-5.5-instant,Chart-11,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
llama,Chart-15,C1,full_class,True,True,6,0,True,False,6,1,True,
llama,Chart-15,C2,full_class,True,True,6,0,True,False,6,1,True,
gemini,Chart-15,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-15,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-15,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
deepseek,Chart-15,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-15,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-15,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-17,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-17,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:abstract_instantiation
gemini,Chart-17,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
gemini,Chart-17,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
deepseek,Chart-17,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
deepseek,Chart-17,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
gpt-5.5-instant,Chart-17,C1,fragment,True,True,4,0,True,False,4,1,True,
gpt-5.5-instant,Chart-17,C2,fragment,True,True,2,0,True,False,2,1,True,
llama,Chart-19,C1,full_class,True,True,5,0,True,False,5,1,True,
llama,Chart-19,C2,full_class,True,True,4,0,True,False,4,1,True,
gemini,Chart-19,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-19,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-19,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-19,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
